Организация;Операция;Описание техкарты;Общая трудоемкость техкарты;Время ремонта;Источник;Номер операции;Отдел;Описание операции;Длинное описание;Источник операции;Номер ресурса;Ресурс;ЕИ;Трудоемкость;Назначенные единицы;Использование в планировании
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 270;Внешний;Разборка;Установить таль и закрепить трос за смонтированные на нерабочем конце вала рым-болты.;;10;ЭЛМНРиОЭО5;Ч;0.8;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 280;Внешний;Разборка;С помощью ГПМ приподнять ротор со стороны нерабочего конца вала и демонтировать приспособление для вывешивания ротора.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 290;Внешний;Разборка;Вывод ротора и перемещение его на временные опоры, демонтаж приспособлений для вывода.;;10;ЭЛМНРиОЭО5;Ч;8;4;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 300;Внешний;Разборка;Уборка защитных прокладок из корпуса статора;;10;ЭЛМНРиОЭО5;Ч;0.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 310;Внешний;Разборка;Установка укрытий исключающих попадание в корпус cтатора посторонних предметов.;;10;ЭЛМНРиОЭО5;Ч;0.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 320;Внешний;Чистка;Чистка мойка сдемонтированных щитов.;;10;ЭЛМНРиОЭО5;Ч;2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 330;Внешний;Проверка;Визуальный осмотр, очистка обмотки статора.;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 340;Внешний;Проверка;Проверка вязального шпагата лобовых частей обмотки статора.;;10;ЭЛМНРиОЭО5;Ч;2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 350;Внешний;Проверка;Проверка сердечника статора на отсутствие коррозии или изменения цвета;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 360;Внешний;Проверка;Проверка сопротивления изоляции обмотки статора;;10;ЭЛМНРиОЭО5;Ч;0.08;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 370;Внешний;Проверка;Испытание изоляции обмотки статора;;10;ЭЛМНРиОЭО5;Ч;0.3;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 380;Внешний;Проверка;Проверка затяжки сердечника статора;;10;ЭЛМНРиОЭО5;Ч;0.2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 390;Внешний;Разборка;Демонтаж крышки главной клеммной коробки. (36 болтов м20);;10;ЭЛМНРиОЭО5;Ч;0.17;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 400;Внешний;Проверка;Проверка выводов обмотки статора на отсутствие повреждения, изменения цвета или трещин, очистка;;10;ЭЛМНРиОЭО5;Ч;0.4;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 410;Внешний;Проверка;Проверка клина обмотки статора на отсутствие выпадения, смещения, ослабления;;10;ЭЛМНРиОЭО5;Ч;4;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 420;Внешний;Проверка;Проверка, обстукивание разделителей воздушных каналов сердечника статора;;10;ЭЛМНРиОЭО5;Ч;0.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 430;Внешний;Проверка;Проверка воздушных каналов сердечника статора на проходимость.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 440;Внешний;Проверка;Проверка опор катушек статора;;10;ЭЛМНРиОЭО5;Ч;0.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 450;Внешний;Проверка;Проверка заземления корпуса статора. Визуальный осмотр и измерение металлосвязи.;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 460;Внешний;Измерение;Проверка сопротивления изоляции электрооборудования противоконденсатного обогрева.;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 470;Внешний;Измерение;Проверка датчиков температуры статора. Проверка сопротивления изоляции цепей приборов термоконтроля;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 480;Внешний;Проверка;Осмотр  доступных частей обмотки ротора;;10;ЭЛМНРиОЭО5;Ч;0.25;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 490;Внешний;Проверка;Проверка верхней и нижней изоляционных шайб, изоляционных пластин держателя сердечника обмотки ротора;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 500;Внешний;Проверка;Проверка выводов обмотки ротора на отсутствие повреждения изменения цвета или трещин;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 510;Внешний;Измерение;Проверка сопротивления изоляции обмотки ротора;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 520;Внешний;Проверка;Проверка полюсной головки ротора на отсутствие коррозии или изменения цвета. Проверить полюсную головку ротора на отсутствие деформации или трещи;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 530;Внешний;Проверка;Проверка вала ротора на отсутствие повреждения, или трещин (капиллярная дефектоскопия), чистоты поверхностей трения.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 540;Внешний;Проверка;Проверка затяжки полюсной головки ротора;;10;ЭЛМНРиОЭО5;Ч;0.2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 550;Внешний;Проверка;Проверка вентилятора ротора на отсутствие трещин (капиллярная дефектоскопия);;10;ЭЛМНРиОЭО5;Ч;4;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 560;Внешний;Измерение;Проверка состояния изоляции обмоток ротора методом измерения разници напряжений по отдельным полюсам.;;10;ЭЛМНРиОЭО5;Ч;0.3;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 570;Внешний;Проверка;Проверка затяжки крепежных болтов ротора;;10;ЭЛМНРиОЭО5;Ч;0.15;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 580;Внешний;Разборка;Установка защитных прокладок в корпус статора;;10;ЭЛМНРиОЭО5;Ч;0.6;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 590;Внешний;Разборка;Установка на ротор опоры, рым болтов со стороны турбины, строповка ротора, подьем к площадке генератора. Установка талей. Ввод ротора.;;10;ЭЛМНРиОЭО5;Ч;11;4;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 600;Внешний;Разборка;Установка приспособлений для вывешивания ротора, вывешивание ротора со стороны возбудителя.;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 610;Внешний;Разборка;Демонтаж опорного приспособления с вала ротора генератора со стороны турбины;;10;ЭЛМНРиОЭО5;Ч;0.6;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 620;Внешний;Разборка;Демонтировать установленные на ротор рым-болты;;10;ЭЛМНРиОЭО5;Ч;0.1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 630;Внешний;Разборка;Демонтировать установленные  тали и убрать троса;;10;ЭЛМНРиОЭО5;Ч;0.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 640;Внешний;Сборка;Установить нижнюю половину щита с корпусом подшипника со стороны возбудителя;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 650;Внешний;Сборка;Установка нижней половины вкладыша подшипника со стороны возбудителя.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 660;Внешний;Сборка;С помощью ГПМ приподнять ротор со стороны нерабочего конца вала и демонтировать приспособление для вывешивания ротора.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 670;Внешний;Сборка;С помощью ГПМ приподнять ротор со стороны турбины и установить приспособление для вывешивания ротора. Вывесить ротор.;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 680;Внешний;Сборка;Уборка защитных прокладок из корпуса статора;;10;ЭЛМНРиОЭО5;Ч;0.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 690;Внешний;Сборка;Установка нижней половины щита с корпусом подшипника со стороны турбины;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 700;Внешний;Разборка;Установка нижней половины вкладыша подшипника со стороны турбины.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 710;Внешний;Сборка;Демонтировать приспособление для вывешивания ротора.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 720;Внешний;Сборка;Установка верхней половины корпуса подшипника и верхней половины вкладыша подшипника.;;10;ЭЛМНРиОЭО5;Ч;4;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 730;Внешний;Проверка;Проверка зазора в подшипнике;;10;ЭЛМНРиОЭО5;Ч;0.35;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 740;Внешний;Проверка;Проверка осевого люфта подшипника;;10;ЭЛМНРиОЭО5;Ч;0.35;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 750;Внешний;Проверка;Проверка воздушных зазоров между бочкой ротора и активным железом статора.;;10;ЭЛМНРиОЭО5;Ч;0.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 760;Внешний;Сборка;Монтаж верних и нижних половин направляющего аппарата (внутренних щитов) генератора.;;10;ЭЛМНРиОЭО5;Ч;1.5;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 770;Внешний;Измерение;Проверка воздушных зазоров между направляющим аппаратом и лопатками вентиляторов;;10;ЭЛМНРиОЭО5;Ч;0.2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 780;Внешний;Разборка;Вкрутить болты крепящие статор возбудителя к нижнеей полусфере подшипникового щита.Удалить прокладку между ротором и статором возбудителя.;;10;ЭЛМНРиОЭО5;Ч;2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 790;Внешний;Сборка;Монтаж с помощью ГПМ верних половин торцевых щитов генератора ( 30*2 болтовых соединений), с контролем усилия затяжки.;;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 800;Внешний;Сборка;Установить воздухоохладитель и соединить трубопроводы охлаждающей воды.;;10;ЭЛМНРиОЭО5;Ч;2;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 810;Внешний;Сборка;Установка маслоподводящих труб.;;10;ЭЛМНРиОЭО5;Ч;0.33;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 820;Внешний;Измерение;Проверка изоляции подшипника;;10;ЭЛМНРиОЭО5;Ч;0.07;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 830;Внешний;Сборка;Монтаж крышки главной клеммной коробки. (36 болтов м20) с контролем усилия затяжки динамометрическим ключем;;10;ЭЛМНРиОЭО5;Ч;0.6;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 840;Внешний;Разборка;Демонтировать генератор PMG;;10;ЭЛМНРиОЭО5;Ч;3;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 850;Внешний;Сборка;Снятие характеристики холостого хода (XX);;10;ЭЛМНРиОЭО5;Ч;1;2;Да
Ч20;КР ЭЛМ-ГЕН@000000032;Текущий ремонт для актива ЭЛМ-ГЕН@000000032;97,9;48,95;Экспертно;1 860;Внешний;Закрытие наряда;Закрытие наряда, сдача рабочего места.;;10;ЭЛМНРиОЭО5;Ч;0.17;2;Да
